,"('Intercept',)","('A1',)","('A2',)","('A3',)","('A4',)","('A5',)","('B1',)","('B2',)","('B3',)","('B4',)","('B5',)","('B7',)","('C1',)","('C2',)","('C3',)","('C5',)","('C7',)","('D1',)","('D2',)","('D3',)","('D5',)","('D7',)","('A21',)","('A22',)","('A23',)","('A24',)","('A25',)","('B21',)","('B22',)","('B23',)","('B25',)","('B27',)","('C21',)","('C22',)","('C23',)","('C25',)","('C27',)","('D21',)","('D22',)","('D23',)","('D24',)","('D25',)","('D27',)","('A31',)","('A32',)","('A33',)","('A34',)","('A35',)","('B31',)","('B32',)","('B33',)","('B35',)","('B37',)","('C31',)","('C32',)","('C33',)","('C35',)","('C37',)","('D31',)","('D32',)","('D33',)","('D34',)","('D35',)","('D36',)","('D37',)",Target
"('Intercept',)",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,-0.18901629989575083,-0.3606548095103177,-0.38299278802445846,-0.15270620257794554,0.8989264161109431,-0.20511719452790073,-0.3572351971746323,-0.3723844422854815,-0.1622118641266046,-0.13692008442807097,0.7984792790731504,-0.19234962182725132,-0.3572351971746323,-0.12075574852487891,-0.1354026107702731,0.7293603930306429,-0.1766867294917001,-0.3572351971746323,-0.10335456909713332,-0.1340512281825028,0.9999999999999998,-0.18901629989575083,-0.3606548095103177,-0.38299278802445846,-0.15270620257794554,0.8451298883998263,-0.2005836006178509,-0.3572351971746323,-0.13793013361813494,-0.13631440350502377,0.7293603930306429,-0.1766867294917001,-0.3572351971746323,-0.10335456909713332,-0.1340512281825028,0.6708160357054569,-0.1615988179359066,-0.3572351971746323,-0.3457512834341048,-0.09235578082884854,-0.13289633293599823,0.9999999999999998,-0.18901629989575083,-0.3606548095103177,-0.38299278802445846,-0.15270620257794554,0.8287817414987904,-0.1980302540339953,-0.3572351971746323,-0.1312864240640258,-0.13600150137195002,0.7488457685972043,-0.18135488988114937,-0.3572351971746323,-0.10758465846394254,-0.13443132652360118,0.6862735381617558,-0.16576127330380877,-0.3572351971746323,-0.348606644645676,-0.0950867843538063,-0.21871946936460804,-0.13320543549291142,0.10836856811647914
"('A2',)",,-0.18901629989575083,1.0,0.08316101709503966,0.31335150474252965,0.45608818606144286,-0.20363310255365186,0.8881870223226233,0.08582032004078109,0.29334053206748645,0.3168175052331332,-0.3137864525816679,-0.19479837498077757,0.841590245427875,0.09325691632144124,0.22627021547095358,-0.3131832426232908,-0.17903433260861043,0.7962353859953168,0.0975020401242106,0.17740128288724366,-0.3126780294601078,-0.1890162998957508,1.0,0.08316101709503966,0.31335150474252965,0.45608818606144286,-0.20150754244346777,0.8685230657254541,0.0899863246238619,0.2634481346824227,-0.31353250891773005,-0.17903433260861043,0.7962353859953168,0.0975020401242106,0.17740128288724366,-0.3126780294601078,-0.1623211834764715,0.755180815450863,0.100878111398665,0.2682003952264258,0.13746408977680674,-0.3122509416522599,-0.1890162998957508,1.0,0.08316101709503966,0.31335150474252965,0.45608818606144286,-0.19971077723348588,0.8597063445589758,0.0911783392128728,0.24970076527933266,-0.3134111240681185,-0.18390908597426692,0.8094003005535463,0.09634897477497886,0.19088995928798713,-0.3128193539361418,-0.16705116712519216,0.7662546930180729,0.09999322739678651,0.2706332973766781,0.14797550663314432,-0.246406239403502,-0.3123650722758778,-0.07784511221740467
"('A3',)",,-0.3606548095103177,0.08316101709503966,1.0,-0.17725463495213692,-0.4294771380862579,-0.352776803468803,0.07374274838066437,0.9761315965094237,-0.1746325101370646,-0.37726265601499426,-0.15741961633193435,-0.35277197130436616,0.06910250518686281,0.9614802318341,-0.3500508671096001,-0.1574195552704326,-0.35277197130436616,0.06269254870321858,0.953759233609341,-0.31852304817323734,-0.1574195552704326,-0.36065480951031764,0.08316101709503966,1.0,-0.17725463495213692,-0.4294771380862579,-0.35277197130436616,0.07130590296125465,0.9676587444219048,-0.3654905134769293,-0.1574195552704326,-0.35277197130436616,0.06269254870321858,0.953759233609341,-0.31852304817323734,-0.1574195552704326,-0.35277197130436616,0.05592843041666557,0.9477687756578645,-0.19264422265695239,-0.28326968347063436,-0.1574195552704326,-0.36065480951031764,0.08316101709503966,1.0,-0.17725463495213692,-0.4294771380862579,-0.35277197130436616,0.07084371457222803,0.9653752238379198,-0.3605619125285828,-0.1574195552704326,-0.35277197130436616,0.06471056114003024,0.955832757823412,-0.32858262296552104,-0.1574195552704326,-0.35277197130436616,0.057806473477780056,0.9493290699594742,-0.19118620520972787,-0.29324436481479876,-0.09587793155437084,-0.1574195552704326,0.04160227560999062
"('A4',)",,-0.38299278802445846,0.31335150474252965,-0.17725463495213692,1.0,0.40902923251780887,-0.37886277530784096,0.29423371365324663,-0.17885202483980142,0.9466801549374027,0.3330023863033062,0.1310930654310569,-0.35915023853590855,0.28727878267167883,-0.18031038048280348,0.26332789501774595,0.1314261810675716,-0.3384731427575033,0.28240015870702473,-0.18096837670728477,0.21849027764819534,0.1315278694804461,-0.38299278802445846,0.3133515047425297,-0.17725463495213695,1.0,0.40902923251780887,-0.3704676787291577,0.29216104547767163,-0.17973805732020712,0.29476526513922613,0.1313123075092043,-0.3384731427575033,0.28240015870702473,-0.18096837670728477,0.21849027764819534,0.1315278694804461,-0.3188240687202451,0.2792867796185896,-0.18144888737033674,0.8542178216821427,0.17998424615207226,0.13158950964640792,-0.38299278802445846,0.3133515047425297,-0.17725463495213695,1.0,0.40902923251780887,-0.3668738712771271,0.2903246284811088,-0.1799559276241629,0.28349178746452214,0.13135946045006883,-0.34459201788240107,0.283587641464365,-0.18079651231929697,0.23117838655538012,0.1315034594984329,-0.32420873742384676,0.2800721591072614,-0.18132577968532018,0.8624067251533304,0.190244773676073,-0.08109861613181954,0.1315741889097297,-0.08767950041039398
"('A5',)",,-0.15270620257794554,0.45608818606144286,-0.4294771380862579,0.40902923251780887,1.0,-0.16400377342186676,0.4047718821624765,-0.42219648148109223,0.392449222607841,0.7588732588019999,0.3739214992169036,-0.1463441949445049,0.37686333993671856,-0.4152760663065486,0.5718725919121908,0.37006578360268194,-0.12195482227714223,0.348351196373274,-0.41132560051900774,0.4574563320571768,0.36680494646224954,-0.15270620257794554,0.4560881860614429,-0.4294771380862579,0.40902923251780887,1.0,-0.15792167106057362,0.39400268299570124,-0.4183196431741711,0.6545383410865774,0.3723074765967414,-0.12195482227714223,0.348351196373274,-0.41132560051900774,0.4574563320571768,0.36680494646224954,-0.09727344515884218,0.3226763358498391,-0.4081838655106363,0.39709130619931016,0.3592959063875131,0.3640411872921514,-0.15270620257794554,0.4560881860614429,-0.4294771380862579,0.40902923251780887,1.0,-0.1545516865596529,0.38836066088926374,-0.4172103674331279,0.6246452837210629,0.3715308276120908,-0.12936156908399626,0.356608952935189,-0.4123986305234489,0.4895964690437887,0.367718129306357,-0.10415928390699185,0.3295932283722113,-0.40900732888597596,0.3965947310895172,0.3855239542025222,-0.2791000569663313,0.3647798414802925,-0.0753690172013993
"('B1',)",,0.8989264161109431,-0.20363310255365186,-0.352776803468803,-0.37886277530784096,-0.16400377342186676,1.0,-0.18685578030962044,-0.3494318878401344,-0.3571941867416327,-0.08497363186365157,-0.13315603341442725,0.9017727336883686,-0.17117933714593705,-0.3494318878401344,-0.023276288661738104,-0.1316717071721026,0.8341636542184256,-0.15243539579005413,-0.3494318878401344,0.0001898638641640155,-0.13034984366992364,0.8989264161109433,-0.20363310255365186,-0.3527768034688031,-0.37886277530784096,-0.16400377342186676,0.9474043249056926,-0.18141584829768684,-0.3494318878401344,-0.04729229010816667,-0.13256358305427415,0.8341636542184256,-0.15243539579005413,-0.3494318878401344,0.0001898638641640155,-0.13034984366992364,0.7768981174954952,-0.13489454298862033,-0.3494318878401344,-0.32852135951150846,0.014032351757497818,-0.12922017551450268,0.8989264161109433,-0.20363310255365186,-0.3527768034688031,-0.37886277530784096,-0.16400377342186676,0.9314132806874929,-0.17813992801099454,-0.3494318878401344,-0.03787298899312728,-0.13225751583599912,0.853223398676274,-0.15790862078721038,-0.3494318878401344,-0.005293677134078851,-0.13072163928789568,0.7920179721663597,-0.1397203791662744,-0.3494318878401344,-0.33142171899980566,0.010582032821119332,-0.2139418447340346,-0.12952252615310897,0.20582703799451868
"('B2',)",,-0.20511719452790073,0.8881870223226233,0.07374274838066437,0.29423371365324663,0.4047718821624765,-0.18685578030962044,1.0,0.08338399555906442,0.303043958771098,0.4264964162043047,-0.2785599415148204,-0.15573410107491592,0.9583153680472124,0.09065604772656041,0.35069632612429286,-0.27802024243512097,-0.12550721135966172,0.9177357753776678,0.09466692449922333,0.3151291003667811,-0.2775682215352714,-0.20511719452790073,0.8881870223226233,0.07374274838066437,0.29423371365324663,0.40477188216247645,-0.17272156806403843,0.9824125186236122,0.08752057914595666,0.3801849246002532,-0.27833273560870514,-0.12550721135966172,0.9177357753776678,0.09466692449922333,0.3151291003667811,-0.2775682215352714,-0.09651032227359294,0.8810037080587446,0.09782700198915623,0.3034105846413295,0.2877502552252873,-0.2771861004242498,-0.20511719452790073,0.8881870223226233,0.07374274838066437,0.29423371365324663,0.40477188216247645,-0.1671275920629301,0.9745240815720401,0.08867023503074806,0.36891117442712135,-0.2782241309781293,-0.1344487157184585,0.9295145985729353,0.09358181153751303,0.3246927358108373,-0.2776946664133604,-0.10449638093980546,0.8909116527987785,0.0970008457473911,0.30372407840813254,0.29484613889393413,-0.22046292175366233,-0.2772882146028732,0.04063986703953932
"('B3',)",,-0.3572351971746323,0.08582032004078109,0.9761315965094237,-0.17885202483980142,-0.42219648148109223,-0.3494318878401344,0.08338399555906442,1.0,-0.17520819092488082,-0.3642464799348035,-0.15592701440984036,-0.34942710149271894,0.0790781053516272,0.9854875548290255,-0.3370279387174634,-0.15592695392730402,-0.34942710149271894,0.07296511611700351,0.9778397646139116,-0.305583461628529,-0.15592695392730402,-0.3572351971746323,0.0858203200407811,0.9761315965094237,-0.17885202483980145,-0.42219648148109223,-0.34942710149271894,0.08109548293020949,0.9916074847574443,-0.3524719221975432,-0.15592695392730402,-0.34942710149271894,0.07296511611700351,0.9778397646139116,-0.305583461628529,-0.15592695392730402,-0.34942710149271894,0.06646381258752769,0.971906106248541,-0.1930491099752404,-0.2704830021554412,-0.15592695392730402,-0.3572351971746323,0.0858203200407811,0.9761315965094237,-0.17885202483980145,-0.42219648148109223,-0.34942710149271894,0.08069535912968635,0.9893456157775746,-0.34753739996724675,-0.15592695392730402,-0.34942710149271894,0.07489808644840558,0.9798936283415733,-0.3156078159267194,-0.15592695392730402,-0.34942710149271894,0.06827104240190109,0.9734516063438892,-0.1916049169782012,-0.2804114911837645,-0.09496884799630466,-0.15592695392730402,0.055451590677002366
"('B4',)",,-0.3723844422854815,0.29334053206748645,-0.1746325101370646,0.9466801549374027,0.392449222607841,-0.3571941867416327,0.303043958771098,-0.17520819092488082,1.0,0.3593139508630681,0.13756331966117646,-0.33376922520499286,0.30322886686582895,-0.1766015056291128,0.3030098387570412,0.1384287718898889,-0.3117608922570166,0.3033538500371376,-0.1772301559993419,0.26634148677019626,0.1390141182033638,-0.37238444228548157,0.29334053206748645,-0.1746325101370646,0.9466801549374028,0.392449222607841,-0.34646710740754727,0.30388537401118104,-0.17605470740342313,0.3286571965569447,0.13798923126281662,-0.3117608922570166,0.3033538500371376,-0.1772301559993419,0.26634148677019626,0.1390141182033638,-0.29129654911520747,0.30386527046375733,-0.17768923645449916,0.9116718178448874,0.23548028718824798,0.13948972156327583,-0.37238444228548157,0.29334053206748645,-0.1746325101370646,0.9466801549374028,0.392449222607841,-0.3423226711334718,0.30364050373429086,-0.17626286094921542,0.3194936311668784,0.13814796796067916,-0.31820494550952416,0.3033490994673919,-0.17706595656001697,0.27665264629612807,0.13885375090874827,-0.2968759444594955,0.30368321567500417,-0.17757161922679437,0.9194955058956672,0.24365047465829517,-0.0764050473422763,0.13936355887961874,-0.027907348310934596
