,"('Intercept',)","('A1',)","('A2',)","('A4',)","('A5',)","('B1',)","('B3',)","('B5',)","('C1',)","('C2',)","('C3',)","('C5',)","('D1',)","('D2',)","('D3',)","('D5',)","('A21',)","('A22',)","('A24',)","('A25',)","('B21',)","('B22',)","('B23',)","('B25',)","('C21',)","('C22',)","('C23',)","('C25',)","('D21',)","('D22',)","('D23',)","('D25',)","('A31',)","('A32',)","('A34',)","('A35',)","('B31',)","('B32',)","('B33',)","('B35',)","('C31',)","('C32',)","('C33',)","('C35',)","('D31',)","('D32',)","('D33',)","('D35',)",Target
"('Intercept',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9790238821396396,-0.41770248886550254,-0.1776710862311522,0.929085009585557,-0.2376415489289867,-0.41770248886550254,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.955059093840458,-0.24677444164937593,-0.41770248886550254,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.41770248886550254,-0.11600055661563369,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9465616437442055,-0.24397859401083186,-0.41770248886550254,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.41770248886550254,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.41770248886550254,-0.11850580997127508,0.14980243312301003
"('A2',)",,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2367651835072042,0.09628293412796389,0.3867924944516177,-0.22675609629086832,0.9403559685549666,0.10300185860968024,0.2852756301358658,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2341642199706351,0.9573930929888335,0.09981175786787469,0.3292334139197864,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.19133892178415518,0.880083700932632,0.11111688694286428,0.17550168143869607,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.23217382197726122,0.9520411001575095,0.10093880358030617,0.31326366240547765,-0.21483222841217683,0.9184131009056838,0.10621588199012333,0.24199224948821796,-0.1964670485728867,0.8879956109259384,0.11014529324216717,0.18866206765851945,-0.10198776768697047
"('A4',)",,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4468545154894814,-0.1984383253425702,0.4397964524854172,-0.4276418079087816,0.35143740348542357,-0.2005031272728976,0.34618290518805106,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4390416148053319,0.3565645252450113,-0.19969280780345225,0.388486519273462,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.3848502456874248,0.34350937482739347,-0.20211507373489399,0.2356875710894042,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4355049852668833,0.35465608621991757,-0.20000127784388963,0.37327999473737816,-0.41236371720198456,0.34765205151997775,-0.2011914133978918,0.30331534802689614,-0.3906279810536007,0.3442427271997483,-0.2019407726397667,0.24921944798619589,-0.11474555081787334
"('A5',)",,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16969964695314446,-0.4752996892737903,0.8788766896392308,-0.15180909541275434,0.44135358715215606,-0.47102732272086756,0.7060450383821574,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16331996666816648,0.45658068269054247,-0.4730973092099891,0.7875134465969261,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1038100383000179,0.39049688211005745,-0.4656796912940325,0.464918147005005,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.15995442713115932,0.45166921358148643,-0.47237029235917083,0.7589296288853136,-0.13509566439002943,0.42261227132462437,-0.4689184657070762,0.6176232129374956,-0.11048955163165788,0.39708864861509824,-0.46632371014625423,0.4966394116661899,-0.10372653774214541
"('B1',)",,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,1.0,-0.4171000123119443,-0.10814397750320506,0.9824520756397679,-0.21967433403383396,-0.4171000123119443,-0.032498487469613646,0.952590254504388,-0.19586082493976573,-0.4171000123119443,-0.0016983752184052076,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9947691954267391,-0.23325112879662344,-0.4171000123119443,-0.062405731441022634,0.952590254504388,-0.19586082493976573,-0.4171000123119443,-0.0016983752184052076,0.9197104066538156,-0.17465139044468606,-0.4171000123119443,0.017493971602286933,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9912891936085905,-0.22893875646169312,-0.4171000123119443,-0.050817106646408004,0.9621278792503583,-0.20274541536879942,-0.4171000123119443,-0.009235489301337224,0.92895390360008,-0.1803486435209595,-0.4171000123119443,0.012823655330499575,0.280469624366371
"('B3',)",,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000123119443,1.0,-0.45635245879834097,-0.4171000086313784,0.09195555887260827,0.9995539399920818,-0.4216346731009033,-0.4171000086313784,0.08467250761876043,0.999001044334017,-0.3822416009832466,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000086313784,0.09420374079660822,0.9998478840137299,-0.4411624583281833,-0.4171000086313784,0.08467250761876043,0.999001044334017,-0.3822416009832466,-0.4171000086313784,0.07660699635563178,0.9984549398236071,-0.3384640292179123,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000086313784,0.0937786366912726,0.9997563774635354,-0.4348810282132683,-0.4171000086313784,0.08701461425045186,0.9991674504578711,-0.39479501920304855,-0.4171000086313784,0.07887575593682666,0.9986059693980197,-0.35080528343039685,0.06489672557558021
"('B5',)",,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.10814397750320506,-0.45635245879834097,1.0,-0.026593124719848153,0.4775046068947416,-0.4506730690127768,0.952597979620314,0.029163295510661734,0.4783580462602327,-0.4472283719995183,0.8839086839428757,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.0649933899296466,0.4723890733623324,-0.453302950426076,0.984302370863285,0.029163295510661734,0.4783580462602327,-0.4472283719995183,0.8839086839428757,0.07080416610251161,0.47220904174254985,-0.44455943777733054,0.8052773286262626,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.051749739573858144,0.4744674648635806,-0.4523592735020454,0.9746763502327558,0.014096408177287939,0.4790251485050323,-0.4481570286664186,0.9059267522882782,0.06033808473581366,0.4744334434512648,-0.4452515292502876,0.8278078704622319,0.26195859622778334
"('C1',)",,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9824520756397679,-0.4171000086313784,-0.026593124719848153,1.0,-0.17727887627715497,-0.4171000086313784,0.07532313868261815,0.9916142958016376,-0.14848650252893403,-0.4171000086313784,0.11582724534826946,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9961412839814752,-0.194433404225722,-0.4171000086313784,0.035520103862135395,0.9916142958016376,-0.14848650252893403,-0.4171000086313784,0.11582724534826946,0.9733103709548839,-0.1240507074002581,-0.4171000086313784,0.14019176520945706,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9983436499211658,-0.18892457022843162,-0.4171000086313784,0.05098447365559071,0.9955800036868229,-0.15666058163266863,-0.4171000086313784,0.10599515151444146,0.9790000962580632,-0.1305037788459167,-0.4171000086313784,0.1343936874595188,0.36779882060887736
"('C2',)",,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.21967433403383396,0.09195555887260827,0.4775046068947416,-0.17727887627715497,1.0,0.10010440320808983,0.43527710121705815,-0.14208280918753466,0.9948021808141135,0.10484915812179828,0.40473359634661893,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19914859335276602,0.9975747099558208,0.09647045949361785,0.4553421484046362,-0.14208280918753466,0.9948021808141135,0.10484915812179828,0.40473359634661893,-0.11377470111759974,0.983173247896292,0.10857940845134834,0.375999288703402,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19195036003137902,0.9989429306932114,0.09778539560820075,0.4483398255883369,-0.15186861233541188,0.9972637116408264,0.10356398162617741,0.41357775419057863,-0.12108634601740517,0.9868447666593911,0.10760659831889051,0.3839959793535893,0.10482490533565365
