,"('Intercept',)","('A1',)","('A2',)","('A4',)","('A5',)","('B1',)","('B5',)","('C1',)","('C2',)","('C5',)","('D1',)","('D2',)","('D5',)","('A21',)","('A22',)","('A24',)","('A25',)","('B21',)","('B25',)","('C21',)","('C22',)","('C25',)","('D21',)","('D22',)","('D25',)","('A31',)","('A32',)","('A34',)","('A35',)","('B31',)","('B32',)","('B35',)","('C31',)","('C32',)","('C35',)","('D31',)","('D32',)","('D35',)",Target
"('Intercept',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9790238821396396,-0.1776710862311522,0.929085009585557,-0.2376415489289867,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.955059093840458,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.11600055661563369,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9465616437442055,-0.24397859401083186,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.11850580997127508,0.14980243312301003
"('A2',)",,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2367651835072042,0.3867924944516177,-0.22675609629086832,0.9403559685549666,0.2852756301358658,-0.20950854818779135,0.9092182650687108,0.2253090808851344,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2341642199706351,0.3292334139197864,-0.20950854818779135,0.9092182650687108,0.2253090808851344,-0.19133892178415518,0.880083700932632,0.17550168143869607,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.23217382197726122,0.9520411001575095,0.31326366240547765,-0.21483222841217683,0.9184131009056838,0.24199224948821796,-0.1964670485728867,0.8879956109259384,0.18866206765851945,-0.10198776768697047
"('A4',)",,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4468545154894814,0.4397964524854172,-0.4276418079087816,0.35143740348542357,0.34618290518805106,-0.40586648693696437,0.3464750175363583,0.28652150909853197,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4390416148053319,0.388486519273462,-0.40586648693696437,0.3464750175363583,0.28652150909853197,-0.3848502456874248,0.34350937482739347,0.2356875710894042,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4355049852668833,0.35465608621991757,0.37327999473737816,-0.41236371720198456,0.34765205151997775,0.30331534802689614,-0.3906279810536007,0.3442427271997483,0.24921944798619589,-0.11474555081787334
"('A5',)",,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16969964695314446,0.8788766896392308,-0.15180909541275434,0.44135358715215606,0.7060450383821574,-0.12783610018338598,0.4148573004866157,0.5812270719887146,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16331996666816648,0.7875134465969261,-0.12783610018338598,0.4148573004866157,0.5812270719887146,-0.1038100383000179,0.39049688211005745,0.464918147005005,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.15995442713115932,0.45166921358148643,0.7589296288853136,-0.13509566439002943,0.42261227132462437,0.6176232129374956,-0.11048955163165788,0.39708864861509824,0.4966394116661899,-0.10372653774214541
"('B1',)",,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,1.0,-0.10814397750320506,0.9824520756397679,-0.21967433403383396,-0.032498487469613646,0.952590254504388,-0.19586082493976573,-0.0016983752184052076,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9947691954267391,-0.062405731441022634,0.952590254504388,-0.19586082493976573,-0.0016983752184052076,0.9197104066538156,-0.17465139044468606,0.017493971602286933,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9912891936085905,-0.22893875646169312,-0.050817106646408004,0.9621278792503583,-0.20274541536879942,-0.009235489301337224,0.92895390360008,-0.1803486435209595,0.012823655330499575,0.280469624366371
"('B5',)",,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.10814397750320506,1.0,-0.026593124719848153,0.4775046068947416,0.952597979620314,0.029163295510661734,0.4783580462602327,0.8839086839428757,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.0649933899296466,0.984302370863285,0.029163295510661734,0.4783580462602327,0.8839086839428757,0.07080416610251161,0.47220904174254985,0.8052773286262626,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.051749739573858144,0.4744674648635806,0.9746763502327558,0.014096408177287939,0.4790251485050323,0.9059267522882782,0.06033808473581366,0.4744334434512648,0.8278078704622319,0.26195859622778334
"('C1',)",,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9824520756397679,-0.026593124719848153,1.0,-0.17727887627715497,0.07532313868261815,0.9916142958016376,-0.14848650252893403,0.11582724534826946,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9961412839814752,0.035520103862135395,0.9916142958016376,-0.14848650252893403,0.11582724534826946,0.9733103709548839,-0.1240507074002581,0.14019176520945706,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9983436499211658,-0.18892457022843162,0.05098447365559071,0.9955800036868229,-0.15666058163266863,0.10599515151444146,0.9790000962580632,-0.1305037788459167,0.1343936874595188,0.36779882060887736
"('C2',)",,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.21967433403383396,0.4775046068947416,-0.17727887627715497,1.0,0.43527710121705815,-0.14208280918753466,0.9948021808141135,0.40473359634661893,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19914859335276602,0.4553421484046362,-0.14208280918753466,0.9948021808141135,0.40473359634661893,-0.11377470111759974,0.983173247896292,0.375999288703402,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19195036003137902,0.9989429306932114,0.4483398255883369,-0.15186861233541188,0.9972637116408264,0.41357775419057863,-0.12108634601740517,0.9868447666593911,0.3839959793535893,0.10482490533565365
"('C5',)",,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,-0.032498487469613646,0.952597979620314,0.07532313868261815,0.43527710121705815,1.0,0.1420162144776672,0.45226881313362527,0.9831669127231547,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,0.026365975282323602,0.9910236941754916,0.1420162144776672,0.45226881313362527,0.9831669127231547,0.1882051093802784,0.4578594193933157,0.9433695189640481,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,0.043624093916284586,0.424935083888502,0.9963532171456532,0.12445211767657814,0.4485944155281799,0.99125330161945,0.17697807604873664,0.45717791864936425,0.9561053822262602,0.46586106089215384
