,"('Intercept',)","('A1',)","('A2',)","('A3',)","('A4',)","('A5',)","('A7',)","('B1',)","('B2',)","('B3',)","('B4',)","('B5',)","('B6',)","('B7',)","('C1',)","('C2',)","('C3',)","('C4',)","('C5',)","('C6',)","('C7',)","('D1',)","('D2',)","('D3',)","('D4',)","('D5',)","('D6',)","('D7',)","('A21',)","('A22',)","('A24',)","('A25',)","('B21',)","('B22',)","('B23',)","('B24',)","('B25',)","('B26',)","('B27',)","('C21',)","('C22',)","('C23',)","('C24',)","('C25',)","('C26',)","('C27',)","('D21',)","('D22',)","('D23',)","('D24',)","('D25',)","('D26',)","('D27',)","('A31',)","('A32',)","('A33',)","('A34',)","('A35',)","('B31',)","('B32',)","('B33',)","('B34',)","('B35',)","('B36',)","('B37',)","('C31',)","('C32',)","('C33',)","('C34',)","('C35',)","('C36',)","('C37',)","('D31',)","('D32',)","('D33',)","('D34',)","('D35',)","('D36',)","('D37',)",Target
"('Intercept',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,-0.2508543019458772,-0.3502954494223803,-0.43734869960490763,-0.11829055838890724,-0.13696457720970298,0.9405531481909515,-0.2722250605282396,-0.3405751474085101,-0.4307832142755782,-0.1837330477337001,-0.20879845777757053,-0.15370181164982152,0.7891592354713367,-0.2647430976364829,-0.3135339774916677,-0.39989250328129516,-0.18515373991394565,-0.18869835402272078,-0.15770858544848743,0.6134772326813812,-0.24253020361580258,-0.2764011373498308,-0.3585589731220896,-0.16186287518651232,-0.16229711814800404,-0.15301188693157405,0.9392073635505487,-0.26151347892655047,-0.3806998940687819,-0.2376466372896986,0.7010945241167599,-0.24133255335538809,-0.258825344741545,-0.31864943545903096,-0.23144122664218655,-0.16229711814800402,-0.15690221309488464,0.3713664827128863,-0.1762850407686316,-0.16331679045493072,-0.2302991902915711,-0.1406387955120673,-0.09678038845229332,-0.12353812612673812,0.12384814356181374,-0.13641180720720725,-0.0999743828861193,-0.17889425505563647,-0.05220691129960402,-0.06429505607953069,-0.10157489502117376,0.865863148425442,-0.2337678479980077,-0.2802104305625561,-0.3285788513288999,-0.27054263196443806,0.5166043689275769,-0.17256500139928577,-0.18494021043009262,-0.22045406579629703,-0.1970525993237869,-0.11438120926667386,-0.12610169924223824,0.3170907269194605,-0.12931155218299886,-0.11774000808697678,-0.16677159103320144,-0.1298645923438528,-0.07250292374963899,-0.09970901293619927,0.07594773720324458,-0.09693048234504133,-0.06750657216268396,-0.1290740167010508,-0.03395361138155758,-0.04872182315241429,-0.08058613058920794,0.2538299168302515
"('A2',)",,-0.2508543019458772,1.0,0.04041189369846928,0.2993894665986832,0.4148490934756588,-0.30321533606800977,-0.26240974992557353,0.9567566192599132,0.02535765577614245,0.2834189589666537,0.335097759437488,-0.228289749344025,-0.2934716080151354,-0.24938246425604949,0.8520552941697271,0.008786708116715213,0.2550891602094489,0.22592257068215277,-0.20631330518431085,-0.2720440075677812,-0.22494258187370758,0.7334059478465942,-0.006718093197647032,0.22357481052739644,0.1386101365856635,-0.1774475195632674,-0.24559074040740422,-0.2258384855253316,0.9306558073923047,0.28377849103171865,0.3327007359712558,-0.21382457707891273,0.7414920236080736,-0.06876310438977046,0.22534228185869476,0.18046847647238481,-0.1774475195632674,-0.21894221127277746,-0.17012124717279714,0.5156953003931631,-0.06518154459281925,0.16072539667056923,0.050808203922304083,-0.1058148171033317,-0.15960394025446928,-0.11126745638745146,0.39106494199134956,-0.05606190622691623,0.12478917684464978,-0.03365763893259508,-0.07029698587186048,-0.12547567532582174,-0.1902915701793309,0.8470529222189656,-0.11061938038610776,0.2691594905477383,0.23243488695902478,-0.15643230933256894,0.5559836192123282,-0.09471894430482555,0.1751920298457628,0.08987192649616459,-0.12505867079234992,-0.15383533603686975,-0.14167998247211738,0.41729591702297114,-0.07255969306421123,0.13393829747968203,0.022936423574074577,-0.07927105624097217,-0.11806669832616719,-0.0861582170596746,0.3172097122675887,-0.05236388679585304,0.10492211674291317,-0.04370404613706698,-0.05326999496757463,-0.09297670181708377,-0.06653160669009897
"('A3',)",,-0.3502954494223803,0.04041189369846928,1.0,-0.13227821903975417,-0.572688031553876,-0.1534190364267083,-0.3512099844000387,0.03493263896747261,0.9723680568542905,-0.14193345539068883,-0.508874671041449,-0.0931918212547462,-0.14935115354183312,-0.3148642167720896,0.026139602413987523,0.8953521683338582,-0.14123344239219057,-0.3970102766442559,-0.08422065692594169,-0.13899023743739283,-0.26278448127760096,0.01723832333789425,0.7895105014503545,-0.1341712553671616,-0.3068271478247157,-0.0724371443429031,-0.12577018555742708,-0.24465229680005524,0.07018919116653337,-0.06971388398360405,-0.39051836837464105,-0.20938574935578222,0.0415987905589377,0.7854244342653578,-0.0850401557652353,-0.2787938131463169,-0.0724371443429031,-0.10482107040456858,-0.13666008760567583,0.013566354483829297,0.48932608874411293,-0.07479849854019847,-0.17520813694821655,-0.04319543715796564,-0.07642536498506483,-0.06732248600647851,-0.0011155027165118633,0.2950081528029581,-0.06604687810405374,-0.08934726706510267,-0.02869644458825738,-0.05990077078198917,-0.19062444828770914,0.0869460702695283,0.909473868116976,-0.04888363142813553,-0.285563082709007,-0.1337310801876914,0.034749366716902756,0.5832214903908499,-0.05906174840598222,-0.17587891632685973,-0.05105111082878353,-0.06942512572631324,-0.10084185267295818,0.011768551082169867,0.3617452878373839,-0.05239151997470729,-0.12883270279869297,-0.03235981521338986,-0.053191347585027096,-0.04458576353557664,-0.004250032940884361,0.20038056799725992,-0.04673752821188987,-0.05789105200599412,-0.021745732620602396,-0.04173698256416762,-0.01571797820582443
"('A4',)",,-0.43734869960490763,0.2993894665986832,-0.13227821903975417,1.0,0.3561907127041929,0.07742324807469561,-0.4344077192778771,0.3000282925280643,-0.142847300855759,0.9677951930677055,0.3307706079431605,-0.1053024644040001,0.08422922532549068,-0.38852389283740696,0.2789496685018945,-0.1434155548596059,0.8855183518355878,0.2561385897803566,-0.09835683198280958,0.0849796921601473,-0.32620044697370804,0.2500602013315576,-0.1360986872450755,0.7848901175688773,0.185463094150993,-0.08805051543119548,0.08168162576638051,-0.366965989596577,0.1723942232343644,0.9404643161849304,0.324712754601483,-0.3070897383134053,0.1608073345562357,-0.12767909899259292,0.7659151427861122,0.23646055533220278,-0.08805051543119552,0.06182249167511764,-0.20301493467030354,0.13168040465315703,-0.09583339650793982,0.5457825681650443,0.11334638282930863,-0.060126196118722455,0.04947586937230196,-0.10593161310736621,0.11559254106043601,-0.06665708747371363,0.42001076411178634,0.010279555941688638,-0.04464120013747909,0.04124049176757925,-0.31504843098629354,0.07589193089143814,-0.11335343431946332,0.8566955594812891,0.26299727469499967,-0.21587329664044608,0.07534967643094992,-0.10518440460577426,0.5624874398888136,0.15881813197755895,-0.06794454270114464,0.038897488722523875,-0.1637985168885551,0.07230342108445807,-0.07624061051164617,0.4237892021190146,0.08720392321436085,-0.048737259709278766,0.031307637657677474,-0.07567743269080114,0.07093789861296161,-0.04918824079706433,0.3261137571096911,-0.008187184531203377,-0.03626547224378476,0.02585476222515986,-0.11971920501620681
"('A5',)",,-0.11829055838890724,0.4148490934756588,-0.572688031553876,0.3561907127041929,1.0,0.5167738506320368,-0.12315236162053489,0.3987747070272376,-0.5665171222057921,0.3528137734252169,0.8779075717293898,-0.2797417503666324,0.5149126550439405,-0.11842158282811256,0.3579522329154917,-0.5316928816404464,0.3299444128833147,0.6616068920921875,-0.2560248731387025,0.48744546503477787,-0.10995080486042746,0.31126639742834633,-0.4788139925836801,0.29853840609162235,0.4804819028910604,-0.2234775453525821,0.446776697766141,-0.13322811844147514,0.4062348457800189,0.251336564965041,0.9489937049673929,-0.12586846556168652,0.33289835239091886,-0.49195215842452444,0.22350354149814688,0.6445582562154483,-0.2234775453525821,0.4469832084648164,-0.10355794078738752,0.24261038581527206,-0.32562202177986627,0.170637483525175,0.3349605007610398,-0.14011052080468006,0.33128490636687286,-0.07114107971328772,0.19240665785116412,-0.21060459964129882,0.13872249817979543,0.095343840628628,-0.09720554905209682,0.2626739184653426,-0.11896127001757385,0.37090769168713483,-0.5578371134628761,0.20651641301762935,0.8682992964163397,-0.09846353952385407,0.25984562938489447,-0.3833212940140359,0.15506809509799424,0.4954966842656053,-0.16282990537401515,0.34480096018883216,-0.0908802567093218,0.20622304743093486,-0.2525890240438852,0.12398136833769008,0.30423798639511085,-0.10821084323528003,0.2662616352365274,-0.056966785420613036,0.1671290516307608,-0.15233067415435972,0.10135617065075868,0.055872988610077765,-0.07579259562251736,0.21048220202961979,-0.05458576588366397
"('A7',)",,-0.13696457720970298,-0.30321533606800977,-0.1534190364267083,0.07742324807469561,0.5167738506320368,1.0,-0.14841134967091163,-0.28921829640504765,-0.14916183191205123,0.08271614396309442,0.468465251398123,-0.09144754307382519,0.9743172437782942,-0.14356882713509478,-0.25771052312501175,-0.13731860003640614,0.08169437188060986,0.3620624337311031,-0.08264429268838354,0.9071643463372042,-0.12951110269043165,-0.22261943659407543,-0.12105551536390619,0.0768711007853659,0.2683426506328887,-0.07108133297808034,0.8212805191350641,-0.05849090547271362,-0.2005142473656606,-0.007673745720668545,0.6366074796875429,-0.07521995690581094,-0.15914135763016624,-0.11335783852898003,0.005623308861961963,0.458492376809403,-0.07108133297808035,0.7820150668556404,-0.07012014930561664,-0.112200489207283,-0.07152791926133731,0.00925909030409379,0.2490926012176503,-0.04238694497983721,0.5716120470645883,-0.04751788811639358,-0.08697502234803416,-0.04378581998434439,0.009863534445275584,0.07838461734727366,-0.0281593311217386,0.4495574676398804,-0.01518956488310699,-0.15268894017814402,-0.12272387301778762,-0.0427855305910871,0.6992333521236199,-0.03669351144446728,-0.0995639858947117,-0.0809983370538327,-0.01873496289344197,0.4259804285371551,-0.05009558342807867,0.5792273751347633,-0.04575918390006298,-0.07541731316067761,-0.05156663787486495,-0.011905668390842804,0.2716278857210403,-0.03175413416911524,0.44489010491158626,-0.03358905583667433,-0.05840313842729679,-0.02956588008992693,-0.0076223269944538695,0.06128144385285743,-0.021338716141821604,0.35009048083367805,-0.012882578635086453
"('B1',)",,0.9405531481909515,-0.26240974992557353,-0.3512099844000387,-0.4344077192778771,-0.12315236162053489,-0.14841134967091163,1.0,-0.249562196891048,-0.3414643050762463,-0.41812016891382225,-0.08480477061938807,-0.20934357902660025,-0.15296290352433178,0.9481768674636648,-0.21659932152980985,-0.31435253733757335,-0.3795992554275891,-0.031069481348630128,-0.1891909988608572,-0.14798353789140292,0.8301152891559652,-0.17920029123823797,-0.2771227525132253,-0.33335011028230926,0.013824752135424303,-0.16272083587418046,-0.13772267943103603,0.8523806439765509,-0.2678738206675065,-0.37958427167385317,-0.24200506599970187,0.8664748665554372,-0.2038339550234665,-0.25950107384753696,-0.3074804296228709,-0.1264043830054257,-0.1627208358741804,-0.14781526345364876,0.5967850138096766,-0.1279771239675485,-0.16374317029388202,-0.2166447296488707,-0.009676880940902063,-0.09703305816449358,-0.1119185903669879,0.2743856048987503,-0.08832541507478274,-0.10023539132962068,-0.16557053211080439,0.06039413136741889,-0.0644629146051619,-0.09119185116938035,0.7696342543109833,-0.23829966474466488,-0.28094199085052896,-0.3283784095496866,-0.27384540789480605,0.7033016147321228,-0.1402413650272985,-0.18542304368268803,-0.21467963380892477,-0.12224070141782481,-0.11467983037874895,-0.12011747389189678,0.5234027112278734,-0.09427088298989637,-0.11804739819393638,-0.1607776197976887,-0.036890751506996965,-0.07269221099233841,-0.09402501964411865,0.19211946972482766,-0.06261696657536422,-0.06768281516431736,-0.1234728948109115,0.051488230928957844,-0.04884902380980693,-0.0759825811899212,0.47698961152591685
"('B2',)",,-0.2722250605282396,0.9567566192599132,0.03493263896747261,0.3000282925280643,0.3987747070272376,-0.28921829640504765,-0.249562196891048,1.0,0.03711620697186827,0.32783508405626943,0.424993141462371,-0.21989332140010875,-0.27705902978219893,-0.2083396748672489,0.9666367273237796,0.03455285014339824,0.33567150027120957,0.3718942430837659,-0.19872516421070913,-0.2540559712667338,-0.16909870691245965,0.895345583941988,0.027712771105073173,0.32886778362344965,0.30160368551752836,-0.17092105345552647,-0.2268989699903866,-0.24776047994004216,0.883854439842061,0.2823512482393554,0.3192193280937921,-0.17910569053437686,0.8721048211961826,-0.039980887188591135,0.31072329278401906,0.31375353273067524,-0.17092105345552647,-0.2050428429395281,-0.12822421549167726,0.7020787129551265,-0.03634504023346817,0.27140193081314756,0.18485574812799555,-0.10192298012966342,-0.14684385556767288,-0.09163303289672448,0.5805072312430757,-0.03747044193498937,0.23496650415133238,0.033252025672764945,-0.06771148398996,-0.1142492313514979,-0.2124943550438869,0.7990107938893358,-0.10762285577756382,0.26552240831855417,0.22201353901535864,-0.12344849111355953,0.7067279303044389,-0.06880728254320384,0.2657415878123676,0.20880544789872527,-0.12045905069952123,-0.1445790386525679,-0.11032096334664641,0.5844597770340494,-0.053124662805220366,0.22941376998090202,0.1293282208011427,-0.07635549076473956,-0.11012985548133725,-0.07579495082476741,0.47707456852106384,-0.0423987881463735,0.19471311398142743,-0.005365615886413373,-0.05131074066201327,-0.08633076956944614,0.05468511816195198
"('B3',)",,-0.3405751474085101,0.02535765577614245,0.9723680568542905,-0.142847300855759,-0.5665171222057921,-0.14916183191205123,-0.3414643050762463,0.03711620697186827,1.0,-0.1448905570366164,-0.49277367150820833,-0.09060585375413695,-0.1452068281703812,-0.30612709133860067,0.04309325813712063,0.9737327744636589,-0.13828143464610196,-0.3766764729026234,-0.081883629075662,-0.13513341575415846,-0.25549250952407593,0.04431692108338945,0.9062335791742118,-0.12748215105090904,-0.2859839223897555,-0.070427095622041,-0.1222802053422282,-0.237863472631188,0.05497734743172963,-0.08087053793145546,-0.3837516358661473,-0.20357553193932879,0.059396324529139365,0.897107847729865,-0.07982056517142964,-0.26641763165021587,-0.070427095622041,-0.10191240441010904,-0.13286792494138946,0.04186242462716226,0.6420199353007745,-0.06619129505535873,-0.16509438349899178,-0.04199681269541882,-0.07430464765802258,-0.06545436326213075,0.027436310706381476,0.4299330463270743,-0.05837576408457506,-0.08437185558827898,-0.027900150749493584,-0.058238592230071475,-0.1853348357288276,0.07184401068453816,0.8787154278729512,-0.05838947422045397,-0.27960083711811823,-0.13002019416217206,0.05530288820267982,0.7267073013511507,-0.052176178579973136,-0.16846051560838654,-0.04963450031837765,-0.06749865711096913,-0.09804360546410724,0.034346517871229575,0.5056024926077035,-0.045580643709784714,-0.12308453366699794,-0.03146186698852502,-0.0517153479284408,-0.04334855909058819,0.015787790917411795,0.31292745730722626,-0.04149528388881446,-0.05562407144873467,-0.02114231316729935,-0.040578828564907396,0.02935129181440273
