,"('Intercept',)","('B1',)","('C1',)","('D1',)","('D5',)","('B21',)","('C21',)","('C25',)","('D21',)","('B31',)","('C31',)",Target
"('Intercept',)",,,,,,,,,,,,
"('B1',)",,1.0,0.9501659326257749,0.8336705758978252,-0.005244541362349866,0.8711522728024302,0.600791401911838,-0.024291563102567897,0.27463302577145077,0.7097755256914394,0.5275383421773995,0.4755920271988044
"('C1',)",,0.9501659326257749,1.0,0.9615128935218019,0.17446401871361047,0.9272405554174366,0.7823427389570587,0.1328754545221498,0.44547621895102435,0.8057149156290887,0.6992267583167109,0.641057990337476
"('D1',)",,0.8336705758978252,0.9615128935218019,1.0,0.3193331527771952,0.891283807088892,0.899493500656391,0.2838180243047075,0.6160372082410995,0.8110589744407612,0.8148891153885779,0.7240273702241717
"('D5',)",,-0.005244541362349866,0.17446401871361047,0.3193331527771952,1.0,0.12715912633895382,0.3691521399733673,0.9218928216336288,0.38633054030012354,0.1571281700685004,0.32192973254374435,0.4971869260826993
"('B21',)",,0.8711522728024302,0.9272405554174366,0.891283807088892,0.12715912633895382,1.0,0.8091971866953829,0.08699329039203436,0.4075813427432281,0.9548817766295122,0.7809407974403735,0.7357168417801994
"('C21',)",,0.600791401911838,0.7823427389570587,0.899493500656391,0.3691521399733673,0.8091971866953829,1.0,0.3920908011535089,0.8269584650452415,0.8337462644837728,0.9771126407302688,0.7837248452835976
"('C25',)",,-0.024291563102567897,0.1328754545221498,0.2838180243047075,0.9218928216336288,0.08699329039203436,0.3920908011535089,1.0,0.5165552053026071,0.11512811229525986,0.3565350554915319,0.4760974529580255
"('D21',)",,0.27463302577145077,0.44547621895102435,0.6160372082410995,0.38633054030012354,0.4075813427432281,0.8269584650452415,0.5165552053026071,1.0,0.434384672406385,0.8149016144154799,0.5011023440156172
"('B31',)",,0.7097755256914394,0.8057149156290887,0.8110589744407612,0.1571281700685004,0.9548817766295122,0.8337462644837728,0.11512811229525986,0.434384672406385,1.0,0.8549545437904744,0.7981735624765719
"('C31',)",,0.5275383421773995,0.6992267583167109,0.8148891153885779,0.32192973254374435,0.7809407974403735,0.9771126407302688,0.3565350554915319,0.8149016144154799,0.8549545437904744,1.0,0.7879558862760302
Target,,0.4755920271988044,0.641057990337476,0.7240273702241717,0.4971869260826993,0.7357168417801994,0.7837248452835976,0.4760974529580255,0.5011023440156172,0.7981735624765719,0.7879558862760302,1.0
